permutation_number,dimension,total_user_time_in_sec,user_time_in_matrix_multiplication_in_sec,percent_of_user_time_taken_by_matrix_multiplication,total_cache_misses,cache_hit_rate,instructions_per_cycle
0,1000,0.586,0.5599816,95.56,2116819,0.9842419745766106,3.046195926854346
1,1000,0.192,0.168,87.5,1766164,0.9862954761617938,4.6692926084962325
2,1000,0.505,0.4800025,95.05,7523510,0.9514772461414756,3.547842197058522
3,1000,2.356,2.3199532,98.47,7751834,0.9532401841205971,0.8579542655392379
4,1000,0.28,0.25600400000000006,91.43,2365968,0.988141374372151,3.2634330726122283
5,1000,2.68,2.645964,98.73,9089728,0.95990450051352,0.7847791238956181
0,2000,19.0,18.939200000000003,99.68,742573572,0.3508440691192265,0.7818266200141052
1,2000,3.434,3.325829,96.85,458949483,0.5557646800613718,2.1176214417979935
2,2000,10.036,9.9818056,99.46,511914313,0.590153386078704,1.4351451244022255
3,2000,47.4,47.27676,99.74,945923871,0.42253264068358953,0.34609791461600603
4,2000,4.338,4.1870376,96.52,492050275,0.5377310364006029,1.7060446854159081
5,2000,48.31,48.063619,99.49,919831909,0.4475327258730927,0.3446473797396985
0,3000,95.994,95.5716264,99.56,3234271033,0.13721219129777673,0.5145108873262855
1,3000,11.48,11.352572,98.89,2723951367,0.21738226544627937,2.1405266971530135
2,3000,69.649,69.2728954,99.46,1890782912,0.5000613164155212,0.7025726131448563
3,3000,164.436,163.942692,99.7,3472480588,0.35319840982449313,0.33755285353326153
4,3000,15.365,15.082284,98.16,2707407683,0.23410356242209007,1.5890042128740651
5,3000,166.476,165.6103248,99.48,3376058651,0.34730543710728223,0.33467356187767194
0,4000,323.956,322.46580240000003,99.54,10203489929,0.6942260898381898,0.3620967885836381
1,4000,28.455,28.141995,98.9,7018119610,0.1413970837529751,2.0378518180482774
2,4000,218.175,217.21503,99.56,5571413692,0.8576648239194222,0.5357173059170471
3,4000,591.735,589.0721925,99.55,24652538873,0.8368669987082894,0.24441195651182146
4,4000,37.709,37.4186407,99.23,6918149414,0.1647162080646153,1.5603227706442975
5,4000,497.014,494.7277356,99.54,12963835798,0.9188632669933874,0.26913809465890765
0,5000,543.764,541.588944,99.6,16626492607,0.39561089215480094,0.4232299287909596
1,5000,56.127,55.5432792,98.96,14143977815,0.11378805739178599,2.017768927615772
2,5000,441.769,440.1344547,99.63,9172698193,0.7338396849677363,0.5168703127747276
3,5000,881.161,877.5482399,99.59,20804999186,0.9232618864585819,0.2987924363107552
4,5000,75.226,74.7520762,99.37,13947483098,0.13996232893051574,1.5280893011980063
5,5000,884.915,881.906289,99.66,20599361878,0.9249533265092827,0.296961676350603
