b,cores2,cores4,cores8,cores16,cores32,cores40
6,0.010518115,0.009701375,0.009900526,0.054602876,0.106855493,0.013682281
6,0.009587341,0.009105016,0.008974375,0.04230946,0.094892873,0.027779683
6,0.009481893,0.008799516,0.009109733,0.047386539,0.112363258,0.014612865
6,0.009495831,0.008904882,0.008769427,0.045456485,0.121789622,0.025079833
8,0.019170918,0.016316076,0.015041513,0.054594293,0.097083832,0.021832089
8,0.019208167,0.016205223,0.014328638,0.048370973,0.080885284,0.020623728
8,0.01976177,0.015764739,0.01454579,0.050551081,0.118818024,0.019509798
8,0.019404847,0.01701479,0.014565788,0.047967922,0.092842794,0.052007757
10,0.072858896,0.052115405,0.042048266,0.097873648,0.095556719,0.046653679
10,0.07160503,0.052281377,0.041495363,0.108595965,0.102200015,0.058742861
10,0.071468704,0.051968424,0.041287887,0.098734829,0.102918529,0.093502256
10,0.073513258,0.053533427,0.042036486,0.078361934,0.120999672,0.091681622
12,0.548835615,0.317310604,0.218042168,0.286767855,0.286213867,0.187107324
12,0.537561559,0.315231092,0.218641068,0.309919219,0.358932974,0.216657992
12,0.539834135,0.318774317,0.220165154,0.331090659,0.235614894,0.191920635
12,0.508525575,0.313170325,0.221071163,0.318263648,0.330384494,0.195867218
