b,cores2,cores4,cores8,cores16,cores32,cores40
6,0.010518115,0.009918069,0.010304820,0.014485469,0.016518759,0.016971886
6,0.009587341,0.009221958,0.009478957,0.011541128,0.016504530,0.016415444
6,0.009481893,0.008869367,0.009218395,0.011131968,0.015801111,0.017506248
6,0.009495831,0.008531369,0.008972229,0.011476589,0.017492537,0.018064297
8,0.019170918,0.015703807,0.014561602,0.016593877,0.023424928,0.022750154
8,0.019208167,0.015059914,0.014347299,0.016154066,0.023051120,0.023199144
8,0.01976177,0.015328106,0.014337241,0.017498828,0.021561030,0.023513672
8,0.019404847,0.014709886,0.015367789,0.017148329,0.022097741,0.023442929
10,0.062760935,0.046786755,0.040339200,0.042860433,0.050337844,0.050755762
10,0.065730505,0.046490187,0.041470137,0.040658763,0.050597537,0.051720214
10,0.062279576,0.046568339,0.041810262,0.040738457,0.049094908,0.049090761
10,0.062864205,0.047698742,0.040033897,0.043213901,0.049026224,0.051121711
12,0.408903728,0.279685252,0.218820870,0.190207670,0.194069061,0.192273416
12,0.412925966,0.279412790,0.221754554,0.194776278,0.197481660,0.194994020
12,0.409880222,0.276699583,0.218386457,0.196987415,0.192599669,0.192186721
12,0.400900521,0.280609514,0.218509576,0.204238093,0.193409786,0.192584959
