Optimizations,V,E,C,k,1 node,2 nodes,3 nodes,4 nodes
O0,40,160,2,10,1,0,29,1
O0,40,160,2,15,0,1,71,6
O0,1000,20000,5,10,26,26,26,26
O0,1000,20000,5,97,28,22,35,22
O0,10000,200000,1000,100,895,845,917,809
O0,10000,200000,1000,257,957,809,759,825
O0,100000,20000000,50,50,65248,49916,47188,48957
O0,100000,20000000,50,999,64618,49557,48500,48146
O0,100001,20000000,76,55,74325,59541,52534,56161
O0,100001,20000000,76,1548,74691,58549,54415,56146
O1,40,160,2,10,0,1,35,9
O1,40,160,2,15,0,1,2,1
O1,1000,20000,5,10,22,19,36,21
O1,1000,20000,5,97,22,19,33,42
O1,10000,200000,1000,100,694,674,757,675
O1,10000,200000,1000,257,751,726,1289,737
O1,100000,20000000,50,50,39879,38814,38096,44670
O1,100000,20000000,50,999,41723,37716,38735,44530
O1,100001,20000000,76,55,52912,47315,45634,52736
O1,100001,20000000,76,1548,50250,48393,46523,52873
O2,40,160,2,10,0,1,2,3
O2,40,160,2,15,0,1,3,1
O2,1000,20000,5,10,20,17,26,19
O2,1000,20000,5,97,21,18,32,41
O2,10000,200000,1000,100,646,634,660,627
O2,10000,200000,1000,257,733,712,812,765
O2,100000,20000000,50,50,38024,35557,35940,41900
O2,100000,20000000,50,999,39561,36751,37156,42363
O2,100001,20000000,76,55,45388,40979,42301,48890
O2,100001,20000000,76,1548,46166,44504,43593,48782
O3,40,160,2,10,0,0,2,4
O3,40,160,2,15,0,1,1,3
O3,1000,20000,5,10,0,1,16,2
O3,1000,20000,5,97,0,1,2,2
O3,10000,200000,1000,100,254,384,544,650
O3,10000,200000,1000,257,257,416,577,668
O3,100000,20000000,50,50,973,618,638,649
O3,100000,20000000,50,999,982,716,613,728
O3,100001,20000000,76,55,1254,829,833,865
O3,100001,20000000,76,1548,1226,915,827,865
